SIGUN_CD,SIGUN_NM,STD_YM,CARD_PUBLCT_CNT,CARD_CHRGNG_AMT,CARD_USE_AMT,MOBILE_GIFTCERTF_USER_CNT,MOBILE_CHRGNG_AMT,MOBILE_USE_AMT,BRNHSTRM_GIFTCERTF_SALE_AMT,BRNHSTRM_GIFTCERTF_RETRVL_AMT
41220,평택시,2020-10,6037.0,6098216.0,5954365.0,0.0,0.0,0.0,3882065.0,4683160.0
41390,시흥시,2020-10,0.0,0.0,0.0,5828.0,15379566.0,16541996.0,2706889.0,3780743.0
41480,파주시,2020-10,4621.0,7079183.0,7365647.0,0.0,0.0,0.0,0.0,0.0
41150,의정부시,2020-10,4108.0,5722700.0,6058683.0,0.0,0.0,0.0,0.0,0.0
41570,김포시,2020-10,0.0,0.0,0.0,7145.0,19244371.0,18972140.0,0.0,0.0
41610,광주시,2020-10,3368.0,9149383.0,9420328.0,0.0,0.0,0.0,0.0,0.0
41210,광명시,2020-10,3603.0,6729996.0,7218227.0,0.0,0.0,0.0,0.0,0.0
41410,군포시,2020-10,3214.0,8822107.0,9194072.0,0.0,0.0,0.0,0.0,0.0
41450,하남시,2020-10,3736.0,7841706.0,11015434.0,0.0,0.0,0.0,0.0,0.0
41370,오산시,2020-10,1937.0,6527503.0,6916165.0,0.0,0.0,0.0,0.0,0.0
41630,양주시,2020-10,1693.0,3155274.0,3527213.0,0.0,0.0,0.0,0.0,0.0
41500,이천시,2020-10,1567.0,4039983.0,3981151.0,0.0,0.0,0.0,0.0,0.0
41310,구리시,2020-10,1806.0,4340830.0,4873221.0,0.0,0.0,0.0,0.0,0.0
41550,안성시,2020-10,1868.0,4887867.0,5116759.0,0.0,0.0,0.0,0.0,0.0
41650,포천시,2020-10,869.0,1795602.0,1899871.0,0.0,0.0,0.0,273125.0,391257.0
41430,의왕시,2020-10,2363.0,2014705.0,2108495.0,0.0,0.0,0.0,374065.0,343170.0
41830,양평군,2020-10,1423.0,5697470.0,4171621.0,0.0,0.0,0.0,0.0,0.0
41670,여주시,2020-10,1582.0,2293352.0,3819060.0,0.0,0.0,0.0,0.0,0.0
41250,동두천시,2020-10,849.0,959612.0,999513.0,0.0,0.0,0.0,0.0,0.0
41820,가평군,2020-10,550.0,921618.0,952087.0,0.0,0.0,0.0,473815.0,469705.0
41290,과천시,2020-10,994.0,2224257.0,2286972.0,0.0,0.0,0.0,519200.0,738235.0
41800,연천군,2020-10,409.0,612653.0,658179.0,0.0,0.0,0.0,0.0,0.0
41110,수원시,2020-11,11491.0,20901335.0,19871655.0,0.0,0.0,0.0,0.0,0.0
41280,고양시,2020-11,10341.0,21892388.0,21763372.0,0.0,0.0,0.0,0.0,0.0
41460,용인시,2020-11,9835.0,18248514.0,17446438.0,0.0,0.0,0.0,0.0,0.0
41130,성남시,2020-11,0.0,5512400.0,5336723.0,9370.0,9862795.0,13530314.0,3866905.0,7820450.0
41190,부천시,2020-11,8430.0,16560102.0,16996525.0,0.0,0.0,0.0,0.0,0.0
41590,화성시,2020-11,7836.0,32921849.0,30837628.0,0.0,0.0,0.0,0.0,0.0
41270,안산시,2020-11,5657.0,28198480.0,25955038.0,0.0,0.0,0.0,3473920.0,2868065.0
41360,남양주시,2020-11,5787.0,12737052.0,12087602.0,0.0,0.0,0.0,0.0,0.0
